단과대,학과,졸업이수학점,기초교양학점,핵심교양학점,자유교양학점,전공학점,전공필수학점,전공선택학점,일반선택학점,연계전공,연계전공다전공이수학점,융합전공,융합전공다전공이수학점,부전공
"글로벌인문,지역대학",국어국문학전공,130,14,15,2,42,,,57,,,,,21
"글로벌인문,지역대학",글로벌한국어전공,130,14,15,2,42,,,57,,,,,21
"글로벌인문,지역대학",영어어문전공,130,14,15,2,45,,,54,,,,,21
"글로벌인문,지역대학",글로벌커뮤니케이션영어전공,130,14,15,2,45,,,54,,,,,21
"글로벌인문,지역대학",중국어문전공,130,14,15,2,42,,,57,,,,,21
"글로벌인문,지역대학",중국정경전공,130,14,15,2,45,,,54,중국통상전공,54,,,21
"글로벌인문,지역대학",한국역사학과,130,14,15,2,45,,,54,도덕/윤리전공(교직),51,,,21
사회과학대학,행정학과,130,14,15,2,45,,,54,,,"오픈소스거버넌스융합전공, 바이오4차산업거버넌스융합전공","36,36",21
사회과학대학,정치외교학과,130,14,15,2,45,,,54,도덕/윤리전공(교직),51,,,21
사회과학대학,사회학과,130,14,15,2,45,,,54,"도덕/윤리전공(교직), 응용심리학전공","51, 42",,,21
사회과학대학,"미디어,광고학과",130,14,15,2,45,,,54,"응용심리학전공, 미디어애널리틱스전공","51, 48","소프트웨어미디어융합전공, 소프트웨어광고융합전공","36,36",21
사회과학대학,교육학과,130,14,15,2,50,,,49,"도덕/윤리전공(교직), 응용심리학전공","51, 42",,,21
사회과학대학,"러시아, 유라시아학과",130,14,15,2,48,,,51,,,,,21
사회과학대학,일본학과,130,14,15,2,42,,,57,,,,,21
사회과학대학,행정관리학과,130,8,15,2,105,,,0,,,,,21
법과대학,법학과,136,14,17,2,48,,,55,도덕/윤리전공(교직),51,"오픈소스거버넌스융합전공, 지식재산융합전공","36,36",21
법과대학,기업융합법학과,136,8,15,2,67,,,28,,,,,21
경상대학,경제학과,130,14,17,2,45,,,52,,,,,21
경상대학,국제통상학과,130,14,17,2,45,,,52,,,,,21
창의공과대학,신소재공학부,136,8,15,2,83,,,28,,,미래기술융합디자인전공,36,21
창의공과대학,기계공학부,136,8,15,2,83,,,28,,,"해외건설융합전공, 바이오헬스산업융합전공","36, 36",21
창의공과대학,건설시스템공학부,136,8,15,2,83,,,28,,,해외건설융합전공,36,21
창의공과대학,전자공학부,136,8,15,2,83,,,28,스마트카ICT전공,42,지식재산융합전공,36,21
조형대학,공업디자인학과,130,14,15,2,52,,,47,실내제품디자인전공,48,"미래기술융합디자인전공, 지식재산융합전공","36, 36",21
조형대학,시각디자인학과,130,14,15,2,48,,,51,,,미래기술융합디자인전공,36,21
조형대학,금속공예학과,130,14,15,2,52,,,47,실내제품디자인전공,48,미래기술융합디자인전공,36,21
조형대학,도자공예학과,130,14,15,2,48,,,51,,,미래기술융합디자인전공,36,21
조형대학,의상디자인학과,130,14,15,2,48,,,51,실내제품디자인전공,48,미래기술융합디자인전공,36,21
조형대학,공간디자인학과,130,14,15,2,52,,,47,실내제품디자인전공,48,미래기술융합디자인전공,36,21
조형대학,영상디자인학과,130,14,15,2,48,,,51,,,"미래기술융합디자인전공, 디지털엔터테인먼트전공","36, 36",21
조형대학,"자동차,운송디자인학과",130,14,15,2,48,,,51,,,"미래기술융합디자인전공, 자동차/소프트웨어/디자인융합전공","36, 36",21
조형대학,AI디자인학과,130,14,15,2,52,,,47,,,,,21
과학기술대학,산림환경시스템학과,136,8,15,2,57,,,54,,,,,21
과학기술대학,임산생명공학과,136,8,15,2,57,,,54,바이오기술전공,48,,,21
과학기술대학,나노전자물리학과,136,8,15,2,57,,,54,,,,,21
과학기술대학,응용화학부,136,8,15,2,60,,,51,바이오기술전공,48,,,21
과학기술대학,식품영양학과,136,8,15,2,60,,,57,"바이오기술전공, 바이오헬스케이식품연계전공","48, 48",,,21
과학기술대학,정보보안암호수학과,136,8,15,2,54,,,57,,,,,21
과학기술대학,바이오발효융합학과,136,8,15,2,54,,,55,"바이오기술전공, 바이오헬스케이식품연계전공","48, 48","바이오4차산업거버넌스융합전공, 바이오헬스산업융합전공",36,21
예술대학,성악전공,130,14,15,2,31,,,51,,,,,21
예술대학,피아노전공,130,14,15,2,31,,,51,,,,,21
예술대학,관현악전공,130,14,15,2,31,,,51,,,,,21
예술대학,작곡전공,130,14,15,2,31,,,51,,,,,21
예술대학,회화전공,130,14,15,2,31,,,51,,,,,21
예술대학,입체미술전공,130,14,15,2,31,,,51,,,,,21
예술대학,연극전공,130,14,15,2,31,,,51,,,,,21
예술대학,영화전공,130,14,15,2,31,,,51,,,,,21
예술대학,무용전공,130,14,15,2,31,,,51,,,,,21
체육대학,스포츠교육학과,136,14,15,2,45,,,60,,,,,21
